date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:58	290/290	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2011:49:58%20GMT	http://travellrsapp.com/robots.txt		(from )
13:50:01	6146/6146	---M-Z	200	added ('OK')	text/html	etag:%221802-54e5dc2a100fc-gzip%22	http://travellrsapp.com/	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/index.html	(from )
13:50:02	78223/78223	---M--	200	added ('OK')	text/html	etag:%22422fc6-1318f-55f4b44681575%22	http://www.artics.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.artics.com.br/index.html	(from )
13:50:02	291/291	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2011:50:02%20GMT	http://travellrsapp.com/favicon.ico	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/favicon.ico	(from http://travellrsapp.com/)
13:50:03	268438/268438	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Mar%202017%2018:15:15%20GMT	https://www.appdindin.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.appdindin.com.br/index.html	(from )
13:50:04	13499/13499	---MCZ	200	added ('OK')	text/html	etag:W/%222d6c697a5e5988f5c2637bc001dec0f6%22	https://ribon-landing.herokuapp.com/	/home/tits/websites/Brazil%20angel%20mobile/ribon-landing.herokuapp.com/index.html	(from )
13:50:04	48136/48136	---M--	200	added ('OK')	text/html	etag:W/%22rb5jZECeDhGFAiEpBNTYgg==%22	http://www.avi.do/	/home/tits/websites/Brazil%20angel%20mobile/www.avi.do/index.html	(from )
13:50:05	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-54e5ab28e6cc8-gzip%22	http://travellrsapp.com/node_modules/bootstrap/dist/css/bootstrap.min.css	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/node_modules/bootstrap/dist/css/bootstrap.min.css	(from http://travellrsapp.com/)
13:50:06	9740/9740	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:04%20GMT	https://d3.do/	/home/tits/websites/Brazil%20angel%20mobile/d3.do/index.html	(from )
13:50:06	18972/18972	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:05%20GMT	https://www.zagapp.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.zagapp.com.br/index.html	(from )
13:50:06	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-54e5ab0fea93e-gzip%22	http://travellrsapp.com/node_modules/font-awesome/css/font-awesome.min.css	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/node_modules/font-awesome/css/font-awesome.min.css	(from http://travellrsapp.com/)
13:50:11	79575/79575	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:06%20GMT	https://www.kcollector.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.kcollector.com.br/index.html	(from )
13:50:11	36305/36305	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:10%20GMT	http://www.zumpy.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.zumpy.com.br/index.html	(from )
13:50:11	3368/3368	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:11%20GMT	http://www.longhathouse.com/	/home/tits/websites/Brazil%20angel%20mobile/www.longhathouse.com/index.html	(from )
13:50:11	2447/2447	---M-Z	200	added ('OK')	text/css	etag:%2298f-54e5dd37b0b3a-gzip%22	http://travellrsapp.com/css/style.css	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/css/style.css	(from http://travellrsapp.com/)
13:50:12	304/304	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Dec%202017%2011:50:11%20GMT	http://parknet.com.br/	/home/tits/websites/Brazil%20angel%20mobile/parknet.com.br/index.html	(from )
13:50:14	15442/15442	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:07%20GMT	https://talentify.io/	/home/tits/websites/Brazil%20angel%20mobile/talentify.io/index.html	(from )
13:50:15	2884/2884	---M--	200	added ('OK')	text/html		https://www.ifood.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.ifood.com.br/index.html	(from )
13:50:15	26447/26447	---M--	200	added ('OK')	image/png	etag:%22674f-54e5aaeb86934%22	http://travellrsapp.com/imgs/logo.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/logo.png	(from http://travellrsapp.com/)
13:50:16	20193/20193	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:15%20GMT	https://linceapp.com.br/	/home/tits/websites/Brazil%20angel%20mobile/linceapp.com.br/index.html	(from )
13:50:17	5897/5897	---M--	200	added ('OK')	image/png	etag:%221709-54e5aae2d41ce%22	http://travellrsapp.com/imgs/btngoogle.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/btngoogle.png	(from http://travellrsapp.com/)
13:50:17	35335/35335	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2011:50:17%20GMT	http://www.syligo.com/	/home/tits/websites/Brazil%20angel%20mobile/www.syligo.com/index.html	(from )
13:50:17	60401/60401	---M-Z	200	added ('OK')	text/html	etag:%223a4a-560a1b52a3cbb%22	http://esites.pro/	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/index.html	(from )
13:50:17	5252/5252	---M--	200	added ('OK')	image/png	etag:%221484-54e5aae216ab1%22	http://travellrsapp.com/imgs/btnapple.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/btnapple.png	(from http://travellrsapp.com/)
13:50:18	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Dec%202017%2011:50:18%20GMT	http://usebikeapp.com/	/home/tits/websites/Brazil%20angel%20mobile/usebikeapp.com/index.html	(from )
13:50:20	237957/237957	---M--	200	added ('OK')	image/png	etag:%223a185-54e5aae5dd6be%22	http://travellrsapp.com/imgs/g.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/g.png	(from http://travellrsapp.com/)
13:50:20	19613/19613	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202015%2019:31:11%20GMT	http://www.urbapp.com.br/	/home/tits/websites/Brazil%20angel%20mobile/www.urbapp.com.br/index.html	(from )
13:50:22	78422/78422	---M--	200	added ('OK')	image/png	etag:%2213256-54e5aae9d2124%22	http://travellrsapp.com/imgs/infoa.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/infoa.png	(from http://travellrsapp.com/)
13:50:23	71102/71102	---M--	200	added ('OK')	image/png	etag:%22115be-54e5aaeae37f1%22	http://travellrsapp.com/imgs/infob.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/infob.png	(from http://travellrsapp.com/)
13:50:23	242291/242291	---M--	200	added ('OK')	image/png	etag:%223b273-54e5aae889f60%22	http://travellrsapp.com/imgs/i.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/i.png	(from http://travellrsapp.com/)
13:50:23	49925/49925	---M--	200	added ('OK')	image/png	etag:%22c305-54e5aaeb54c5d%22	http://travellrsapp.com/imgs/infoc.png	/home/tits/websites/Brazil%20angel%20mobile/travellrsapp.com/imgs/infoc.png	(from http://travellrsapp.com/)
